epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
0,0.00044699449790641665,0.0004207072779536247,5.930417046329239e-07,7.382262992905453e-05,0.10453963279724121,0.05725739151239395,0.31326615810394287
1,2.9543003620347008e-05,7.803258085914422e-06,3.203354572178796e-05,1.4285752513387706e-05,0.008084616623818874,0.0201340913772583,0.056719355285167694
2,6.820810085628182e-07,7.482283763238229e-06,2.6400675778859295e-05,1.187688667414477e-06,0.0017165247118100524,0.011928487569093704,0.029148772358894348
3,6.135968533271807e-07,3.972763806814328e-06,2.071642484224867e-05,4.686535248765722e-08,0.00104141840711236,0.011983374133706093,0.02754313126206398
4,3.6890887713525444e-06,8.763519872445613e-06,2.6573687136988156e-05,2.4506537101842696e-06,0.0025421150494366884,0.005233126692473888,0.01715606451034546
5,4.006098208719777e-08,6.584634775208542e-07,1.1214644473511726e-05,2.4469227355439216e-06,0.0007751292432658374,0.003993059042841196,0.010197256691753864
6,1.0793905858008657e-07,3.09790380015329e-07,2.8060569547960768e-06,3.6817624504692503e-07,0.00034373911330476403,0.0010699406266212463,0.002842816524207592
7,6.145310180727392e-07,1.3648104868480004e-10,4.5718570618191734e-07,6.257962468225742e-07,0.0004786323697771877,0.0007574650808237493,0.002163327531889081
8,1.5644906170564354e-07,3.370246304257307e-08,3.4763894518619054e-07,9.277755452785641e-07,0.00025750731583684683,0.0007579050725325942,0.0019198739901185036
9,1.269064853204327e-08,1.697698337466136e-08,1.2100150570404367e-07,7.976561846589902e-07,7.120691589079797e-05,0.0007773478864692152,0.001720735221169889
10,4.2675765143940225e-09,1.2366996315904544e-09,1.5929094843158964e-07,9.588034117768984e-07,7.108007412170991e-05,0.0007579962257295847,0.0016994323814287782
11,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
12,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
13,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
14,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
15,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
16,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
17,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
18,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
19,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
20,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
21,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
22,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
23,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
24,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
25,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
26,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
27,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
28,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
29,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
30,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
31,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
32,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
33,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
34,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
35,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
36,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
37,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
38,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
39,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
40,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
41,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
42,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
43,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
44,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
45,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
46,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
47,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
48,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
49,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
50,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
51,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
52,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
53,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
54,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
55,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
56,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
57,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
58,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
59,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
60,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
61,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
62,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
63,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
64,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
65,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
66,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
67,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
68,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
69,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
70,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
71,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
72,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
73,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
74,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
75,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
76,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
77,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
78,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
79,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
80,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
81,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
82,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
83,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
84,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
85,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
86,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
87,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
88,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
89,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
90,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
91,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
92,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
93,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
94,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
95,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
96,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
97,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
98,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
99,1.3480985217029229e-09,1.4100720591159188e-09,2.0069370521014207e-07,9.154160238722397e-07,5.0211994675919414e-05,0.0007659951806999743,0.0016940891509875655
